city,place_id,place,category,rating,description,phone,sites,price,travel1,travel2,travel3,travel4,images
Banyuwangi,1014,Pantai Cemara,Wisata Alam,4.6,"Banyuwangi is a regency located in East Java, Indonesia, known for its stunning natural attractions such as Pantai Cemara, a beautiful beach with calm waters and lush pine trees lining the shore.",081249219268,,$,,,,,
Banyuwangi,1015,X-Badeng Rafting Adventure,Wisata Bahari,4.6,"Badeng Rafting Adventure is located in Banyuwangi, offering thrilling rafting experiences in the beautiful nature of East Java. Enjoy the adrenaline rush as you navigate through the rapids and enjoy the stunning scenery along the river.",085232936801,https://banyuwangipaketwisata.com/wisata-pantai-cemara-banyuwangi/,$$$,,,,,
Banyuwangi,1016,Air Terjun Temcor,Wisata Alam,4.5,"Banyuwangi is a regency located on the eastern tip of Java Island, famous for its stunning natural attractions such as Air Terjun Temcor, a beautiful waterfall surrounded by lush greenery.",,,$,,,,,
Banyuwangi,1017,Air Terjun Antogan,Wisata Alam,4.5,"BanyuwangiAntogan Waterfall is located in Banjar Village, Banyuwangi. It offers a beautiful natural scenery with a refreshing waterfall, making it a perfect spot for nature lovers and adventure seekers.",,,$,,,,,
Banyuwangi,1018,Bangsring Under Water,Wisata Bahari,4.5,Bangsring Under Water is a popular diving spot in Banyuwangi where visitors can explore the diverse marine life and colorful coral reefs.,08155941059,https://bangsringunderwater.com/,$,,,,,
Banyuwangi,1019,De Djawatan,Wisata Alam,4.0,"De Djawatan is a traditional village in Banyuwangi where visitors can experience the local culture, traditional dances, and rituals.",081272227543,,$$,,,,,
Banyuwangi,1020,Ekowisata Mangrove Bedul,Wisata Alam,4.4,Ekowisata Mangrove Bedul is located in Banyuwangi and offers a unique experience of exploring mangrove forests while promoting environmental conservation through ecotourism activities.,,http://mangrovebedul.blogspot.com/,$,,,,,
Banyuwangi,1021,Pantai Grajagan,Wisata Bahari,4.5,"Pantai Grajagan terletak di Banyuwangi dan terkenal dengan ombaknya yang cocok untuk surfing, serta pemandangan pantainya yang indah.",,,$,,,,,
Banyuwangi,1022,Gunung Rante,Wisata Alam,4.6,"Located in Banyuwangi, Mount Rante offers breathtaking views of nature's beauty and is popular among hikers and nature enthusiasts.",,,$,,,,,
Banyuwangi,1023,Wisata Kalibendo,Wisata Alam,4.3,"Kalibendo is a beautiful waterfall located in Banyuwangi, perfect for nature lovers seeking a peaceful oasis to relax and unwind. Surrounded by lush greenery, this hidden gem offers a refreshing escape from the bustling city life.",,,$,,,,,
Banyuwangi,1024,Kaliklatak Perkebunan,Wisata Alam,4.8,"Kaliklatak Plantation is a charming agro-tourism destination in Banyuwangi, offering visitors the chance to explore vast tea and coffee plantations while enjoying the scenic beauty of the surrounding area.",,,$,,,,,
Banyuwangi,1025,Kalisawah adventure,Wisata Alam,4.5,Kalisawah adventure in Banyuwangi offers thrilling outdoor activities such as rafting and tubing in a beautiful natural setting. Get ready for an adrenaline-packed adventure in this picturesque location.,08176421713,https://kalisawah.com/,$$$,,,,,
Banyuwangi,1026,Kawah Ijen,Wisata Alam,5.0,"Banyuwangi is a regency located in the eastern part of Java Island, Indonesia. Kawah Ijen is a famous tourist attraction in Banyuwangi known for its blue fire and majestic crater lake.",,https://tiket.bbksdajatim.org/,$,https://open-trip.id/paket-wisata/open-trip/ijen-baluran-menjangan-2/,https://open-trip.id/paket-wisata/open-trip/wisata-tur-kawah-ijen-baluran-2-hari-1-malam/,https://open-trip.id/paket-wisata/open-trip/explore-gunung-ijen-sunrise/,,
Banyuwangi,1027,Mangrove Bengkak,Wisata Alam,4.4,"Banyuwangi is a regency in East Java known for its beautiful beaches, including the famous Bali Ijen mangrove forest.",,http://mangrovecenterbengkak.wordpress.com/,$,,,,,
Banyuwangi,1028,Pantai Blimbingsari,Wisata Bahari,4.7,"Banyuwangi is a regency located in East Java, known for its stunning natural attractions such as beaches, mountains, and national parks. Pantai Blimbingsari is a beautiful beach in Banyuwangi with clear blue waters and white sandy shores, perfect for swimming and sunbathing.",081331630507,,$,,,,,
Banyuwangi,1029,Pantai Cemara Kawang,Wisata Alam,4.4,Pantai Cemara Kawang terletak di Banyuwangi dan menawarkan pemandangan pantai yang indah dengan pasir putih dan air biru yang jernih. Tempat ini cocok untuk menikmati keindahan alam sambil berenang atau bersantai.,,,$,,,,,
Banyuwangi,1030,Pantai Mustika Pancer,Wisata Bahari,4.1,"Pantai Mustika Pancer is a beautiful beach in Banyuwangi with clear blue waters and white sandy beaches, perfect for relaxing and enjoying the peaceful atmosphere.",,http://pantaimustika.carrd.co/,$,,,,,
Banyuwangi,1031,Pantai Pulau Santen,Wisata Bahari,4.8,"Pantai Pulau Santen located in Banyuwangi, East Java, is a beautiful beach with white sand and clear blue water, perfect for relaxation and water activities.",,,$,,,,,
Banyuwangi,1032,Pantai Parang Semar,Wisata Bahari,4.6,Pantai Parang Semar terletak di Banyuwangi dan merupakan pantai yang indah dengan air jernih dan pasir putih yang menawan. Perfect spot for beach lovers and water sport enthusiasts.,085231228107,,$,,,,,
Banyuwangi,1033,Pantai Pulau Merah,Wisata Bahari,5.0,"Pantai Pulau Merah located in Banyuwangi, East Java, offers stunning red sand beaches and crystal clear waters, perfect for swimming and relaxing by the sea.",,,$,,,,,
Banyuwangi,1034,Pulau Santen,Wisata Alam,4.3,"Banyuwangi is a regency in East Java known for its natural beauty, including stunning beaches and lush forests. Pulau Santen is a small island off the coast of Banyuwangi, offering clear waters and white sandy beaches perfect for relaxation and water activities.",,,$,,,,,
Banyuwangi,1035,Sendang Seruni,Wisata Alam,4.5,"Located in Banyuwangi, Sendang Seruni is a beautiful natural spring surrounded by lush greenery, perfect for a relaxing day out in nature.",081230497977,,$,,,,,
Banyuwangi,1036,Akbar Zoo,Taman Hiburan,4.4,"Akbar Zoo is located in Banyuwangi, offering a diverse range of animal species and interactive experiences for visitors of all ages. Visitors can enjoy watching various animals, from exotic birds to rare mammals, in a well-maintained and spacious zoo environment.",,,$$,,,,,
Banyuwangi,1037,Alam Indah Lestari,Wisata Alam,4.1,"Alam Indah Lestari is a beautiful natural attraction located in Banyuwangi, offering lush greenery and refreshing waterfalls for visitors to enjoy. A perfect place to relax and immerse oneself in the tranquility of nature.",081133311166,,$$,,,,,
Banyuwangi,1038,Atlanta Water Park,Taman Hiburan,4.2,"Located in East Java, Banyuwangi is known for its stunning beaches, active volcanoes, and lush coffee plantations. Atlanta Water Park offers a range of thrilling water slides, lazy rivers, and wave pools for visitors to enjoy.",081937602358,,$$,,,,,
Banyuwangi,1039,Blue Lagoon Swimming Pool,Taman Hiburan,4.6,"Blue Lagoon Swimming Pool is located in Banyuwangi, offering a picturesque and relaxing swimming experience with its crystal-clear blue waters and lush surrounding nature. Visitors can enjoy a refreshing dip in the pool while taking in the serene atmosphere of this hidden gem in East Java.",087712521066,,$$,,,,,
Banyuwangi,1040,Taman Gandrung Terakota,Taman Hiburan,4.7,Taman Gandrung Terakota is a beautiful park in Banyuwangi where visitors can enjoy various sculptures and artworks depicting the local culture and traditions. It offers a peaceful atmosphere for relaxation and appreciation of art.,082122211808,http://www.gandrungterakota.com/,$$,,,,,
Banyuwangi,1041,Grand Harvest Pool,Wisata Alam,4.7,"Grand Harvest Pool is located in Banyuwangi, offering a relaxing swimming pool surrounded by beautiful nature and peaceful atmosphere.",03333384031,http://www.grandharvestresort.com/,$$,,,,,
Banyuwangi,1042,Grand Watudodol,Budaya,4.6,"Grand Watudodol is a popular waterfall located in Banyuwangi, offering a refreshing natural setting surrounded by lush greenery, perfect for a relaxing getaway.",082318173760,,$$,https://open-trip.id/paket-wisata/open-trip/pulau-menjangan-tabuhan-2/,,,,
Banyuwangi,1043,Gumuk Kantong Indah,Wisata Alam,4.2,"Gumuk Kantong Indah in Banyuwangi is a beautiful coastal sand dune area famous for its stunning views and tranquil atmosphere. Visitors can enjoy activities such as sandboarding, taking photos, or simply relaxing by the beach.",081216707434,,$,,,,,
Banyuwangi,1044,Pemandian Taman Suruh,Wisata Alam,4.1,"Banyuwangi is a regency in East Java famous for its natural beauty and cultural attractions. Taman Suruh is a popular bathing spot located in the area, known for its refreshing hot spring water and lush surroundings.",,,$,,,,,
Banyuwangi,1045,Museum Blambangan,Budaya,4.3,Banyuwangi is a city located in the eastern part of Java known for its natural beauty and cultural heritage. Museum Blambangan is a museum that showcases the history and cultural richness of Banyuwangi.,0333424172,,$,,,,,
Blitar,1046,Kekunaan Jimbe,Wisata Bahari,4.2,"A serene and secluded waterfall hidden in the lush forest, perfect for a peaceful retreat.",085850116010,https://travellersblitar.com/,$,,,,,
Blitar,1047,Museum Penataran,Budaya,4.1,Museum Penataran is located in Blitar and houses a collection of artifacts and historical items showcasing the rich cultural heritage of the region. It is a must-visit for history enthusiasts and those interested in learning about the local traditions and history of Blitar.,,,$,,,,,
Blitar,1048,Air Terjun Sirah Kencong,Wisata Alam,4.5,"Located in Blitar, Sirah Kencong Waterfall is a beautiful natural attraction with a breathtaking view, perfect for those seeking a peaceful retreat in nature.",,https://jelajahblitar.com/item/air-terjun-sirah-kencong/,$,,,,,
Blitar,1049,Air Terjun Umbulwaru,Wisata Alam,4.7,"Located in Blitar, Air Terjun Umbulwaru is a beautiful waterfall surrounded by lush greenery, perfect for nature lovers and adventure seekers. With its crystal-clear water and tranquil atmosphere, it offers a refreshing escape from the hustle and bustle of city life.",,,$,,,,,
Blitar,1050,Pantai Jolo Sutro,Wisata Bahari,4.2,"Blitar located in East Java, Indonesia. Pantai Jolo Sutro is a beautiful beach with clear blue water and white sandy beach.",,,$,,,,,
Blitar,1051,Pantai Pangi,Wisata Bahari,4.5,"Pantai Pangi is a beautiful beach in Blitar with clear blue water and white sandy beaches, perfect for sunbathing and swimming. The beach is surrounded by lush greenery and offers stunning views of the ocean.",,,$,,,,,
Blitar,1052,Pantai Pasir Putih Gondomayit,Wisata Bahari,4.7,"Blitar is a regency located in East Java, Indonesia, known for its beautiful beaches and historical sites. One of the popular tourist destinations in Blitar is the Pantai Pasir Putih Gondomayit, a white sandy beach with clear blue water perfect for relaxing and swimming.",,,$,,,,,
Blitar,1053,Pantai Pehpulo,Wisata Bahari,4.3,"Pantai Pehpulo is located in Blitar, East Java. It offers a beautiful white sandy beach and clear blue waters for visitors to enjoy.",,,$,,,,,
Blitar,1054,Pantai Serang,Wisata Bahari,4.1,"Pantai Serang is a beautiful beach in Blitar, offering stunning views of the coastline and a peaceful atmosphere for visitors to relax and unwind.",,,$,https://open-trip.id/paket-wisata/open-trip/pulau-menjangan-tabuhan-2/?date=2024-06-08,,,,
Blitar,1055,Pantai Tambak Rejo,Wisata Bahari,4.4,"Blitar is a city in East Java, Indonesia. Pantai Tambak Rejo is a beautiful beach where visitors can enjoy sunbathing and swimming in the clear blue waters.",085748834834,,$,,,,,
Blitar,1056,Paralayang Gunung Pegat,Wisata Alam,4.1,"Paralayang Gunung Pegat is a popular paragliding spot located in Blitar, offering stunning views of the surrounding mountains.",,,$$$,,,,,
Blitar,1057,Pendakian Gn. Kelud,Wisata Alam,5.0,"Located in Blitar, Mount Kelud offers a challenging yet rewarding hiking experience with stunning views of the surrounding landscapes. The crater of the volcano presents a unique sight for visitors to witness the power of nature up close.",085706889273,,$$,,,,,
Blitar,1058,Kampung 1001,Budaya,4.0,"Kampung 1001 is a cultural village in Blitar, East Java, where visitors can immerse themselves in traditional Javanese customs, arts, and crafts. It is a unique destination to experience the authentic local way of life and enjoy traditional performances and workshops.",082231668801,,$,,,,,
Blitar,1059,Kampung Coklat,Budaya,4.7,A popular tourist destination in Blitar offering various chocolate-themed attractions and activities for visitors to enjoy.,,http://linktr.ee/kampungcoklat,$,,,,,
Blitar,1060,Kampung Wisata Turi Putih,Wisata Alam,4.9,Kampung Wisata Turi Putih is a tourist village in Blitar known for its serene atmosphere and beautiful natural surroundings. Visitors can enjoy various outdoor activities and immerse themselves in Javanese culture.,,,$,,,,,
Blitar,1061,Kawasan Wisata Ngreco Lahor,Wisata Alam,4.1,"Ngreco Lahor Tourism Area is a beautiful natural destination surrounded by verdant hills and rice fields, perfect for outdoor activities and relaxation.",,,$,,,,,
Blitar,1062,Kawasan Wisata Olak-Alen,Wisata Alam,4.7,"Blitar is a city located in East Java, Indonesia. Olak-Alen is a tourist area known for its natural beauty, offering visitors a chance to relax and unwind in the midst of stunning scenery.",,,$,,,,,
Blitar,1063,Kesambi Trees Park,Taman Hiburan,4.4,"Kesambi Trees Park is a beautiful park located in Blitar, surrounded by lush greenery and perfect for a relaxing getaway. It offers a serene atmosphere for visitors to unwind and enjoy nature.",087739909329,,$,,,,,
Blitar,1064,Kolam Renang Penataran,Taman Hiburan,4.6,"Renowned for its natural beauty, Kolam Renang Penataran in Blitar offers a refreshing retreat with its inviting swimming pool surrounded by lush greenery. Visitors can unwind and cool off in this tranquil oasis while enjoying the serene atmosphere.",085790820856,,$,,,,,
Blitar,1065,Konyar Hill,Wisata Alam,4.7,"Konyar Hill is a scenic spot located in Blitar, offering panoramic views of the surrounding area. Visitors can enjoy a peaceful atmosphere and capture beautiful sunset moments.",085606747805,,$,,,,,
Blitar,1066,Monumen Trisula,Budaya,4.7,"Blitar is a city located in East Java, Indonesia. Monumen Trisula is a monument dedicated to the Indonesian national hero, Soekarno, located in the city center.",,https://jelajahblitar.com/item/monumen-trisula/,$,,,,,
Blitar,1067,Taman Ayu Gogoniti,Taman Hiburan,4.4,"Blitar is a city located in East Java known for its historical attractions and beautiful natural landscapes. Taman Ayu Gogoniti is a small park in Blitar popular for its tranquil atmosphere and lush greenery, perfect for relaxing and unwinding.",,https://www.facebook.com/Tamanayugogoniti/,$,,,,,
Blitar,1068,Umbul Suko Sewu,Wisata Alam,4.6,"Kolam renang alami dengan air jernih dan nuansa alam yang asri, cocok untuk berenang dan bersantai bersama keluarga.",,,$,,,,,
Blitar,1069,Wisata Negeri Dongeng,Wisata Alam,4.1,"Blitar is a city in East Java, Indonesia. Wisata Negeri Dongeng is a fantasy-themed amusement park located in Blitar offering various attractions and activities for visitors.",,,$,,,,,
Bojonegoro,1070,Agrowisata Belimbing,Wisata Alam,4.3,"Bojonegoro is known for its beautiful Belimbing Agro-tourism destination, offering visitors a relaxing and educational experience surrounded by lush starfruit plantations.",082139023555,,$,,,,,
Bojonegoro,1071,Agro Wisata Jambu padang,Wisata Alam,4.3,"Bojonegoro Agro Wisata is located in Bojonegoro, offering a vast field of Jambu Padang (Guava) for visitors to pick and enjoy the fresh fruits in a relaxing rural setting. Visitors can also learn about the cultivation process of Jambu Padang and enjoy various outdoor activities.",082133681788,,$,,,,,
Bojonegoro,1072,Agroguna,Wisata Alam,4.4,"Bojonegoro is located in East Java, Indonesia. Agroguna is a tourist destination known for its beautiful flower gardens and organic farming activities.",081331147472,http://agroguna.blogspot.com/,$,,,,,
Bojonegoro,1073,Agrowisata salak Wedi,Wisata Alam,4.5,Agrowisata Salak Wedi is a popular tourist destination in Bojonegoro where visitors can enjoy the beauty of salak plantations and learn about the cultivation process. It offers a relaxing atmosphere surrounded by lush greenery and a chance to taste the fresh and sweet salak fruits.,081231165855,,$,,,,,
Bojonegoro,1074,Argo Wisata Salak Tanjungharjo,Wisata Alam,4.0,Argo Wisata Salak Tanjungharjo is a popular tourist destination located in Bojonegoro. Visitors can enjoy the beautiful scenery of salak plantations and indulge in various salak-based products.,081231165855,,$,,,,,
Bojonegoro,1075,Air Terjun Krondonan,Wisata Alam,4.2,"Air Terjun Krondonan is a beautiful waterfall located in Bojonegoro, offering a stunning natural scenery and a peaceful atmosphere for visitors to enjoy. With its clear water and lush surrounding vegetation, it is a perfect spot for nature lovers and those seeking a serene escape from the city.",,,$,,,,,
Bojonegoro,1076,Banyu Kuning,Wisata Alam,4.2,"Banyu Kuning is a natural hot spring located in Bojonegoro, known for its therapeutic and relaxing properties. Visitors can enjoy soaking in the warm mineral water while surrounded by lush greenery.",081332121092,http://www.wisatabojonegoro.com/,$,,,,,
Bojonegoro,1077,Bukit Kopen,Wisata Alam,4.7,"Bukit Kopen in Bojonegoro offers a serene and picturesque landscape, perfect for nature lovers and outdoor enthusiasts to explore. The hill provides stunning panoramic views of the surrounding area, making it a popular spot for hiking and relaxation.",081332121092,,$,,,,,
Bojonegoro,1078,Bukit Tono,Wisata Alam,4.8,"Bukit Tono is located in Bojonegoro, offering a picturesque landscape and refreshing atmosphere for visitors to enjoy. It is a perfect spot for nature lovers and those seeking a peaceful getaway.",085231788669,,$,,,,,
Bojonegoro,1079,Growgoland,Taman Hiburan,4.0,"A fun-filled theme park in Bojonegoro, Growgoland offers exciting rides, games, and entertainment for visitors of all ages.",,,$$,,,,,
Bojonegoro,1080,Gunung Jati,Budaya,4.8,"Bojonegoro, located in East Java, is home to Gunung Jati, a beautiful mountain with stunning views and lush green surroundings. It is a perfect spot for nature lovers and outdoor enthusiasts looking for a peaceful escape.",081332121092,,$,,,,,
Bojonegoro,1081,Gunung Watu,Wisata Alam,4.1,"Bojonegoro is a regency located in East Java, Indonesia. Gunung Watu is a popular natural tourist destination known for its beautiful scenery and refreshing atmosphere.",,,$,,,,,
Bojonegoro,1082,Negeri Atas Angin,Wisata Alam,4.8,Bojonegoro is a charming destination in East Java known for its natural beauty and warm hospitality. Negeri Atas Angin offers stunning views of vast rice fields and traditional Javanese culture.,,,$,,,,,
Bojonegoro,1083,Outbond Toyoaji,Wisata Alam,4.8,"Outbond Toyoaji offers thrilling outdoor activities like flying fox, high ropes, and paintball in a beautiful natural setting. Stay active and have fun with friends and family while enjoying the fresh air and picturesque views at Outbond Toyoaji in Bojonegororo.",085754999205,,$$$,,,,,
Bojonegoro,1084,Penangkaran Ruso Malo,Wisata Alam,4.0,Penangkaran Ruso Malo in Bojonegoro is a conservation area for endangered species with various animals. Visitors can learn about conservation efforts and interact with the animals in their natural habitat.,,,$,,,,,
Bojonegoro,1085,Pethuk Kreweng,Wisata Alam,4.3,"Pethuk Kreweng is a beautiful waterfall located in Bojonegoro, perfect for those who enjoy nature and outdoor activities. The tranquil atmosphere and stunning scenery make it a great place to relax and unwind.",,,$,,,,,
Bojonegoro,1086,Rumah Singgah,Wisata Alam,4.1,"Rumah Singgah is a popular tourist attraction located in Bojonegoro, offering traditional Javanese architecture and cultural experiences. Visitors can enjoy a peaceful retreat in the midst of nature while learning about local customs and traditions.",085232935400,,$,,,,,
Bojonegoro,1087,Rumah Tua Padangan,Budaya,4.0,Bojonegoro is a small town in East Java known for its traditional culture and warm hospitality. Rumah Tua Padangan is a historic house with intricate architecture that showcases the town's rich heritage.,081230093753,,$,,,,,
Bojonegoro,1088,Taman Pinggir Gawan,Wisata Alam,4.9,"Taman Pinggir Gawan is a beautiful park located in Bojonegoro, offering a peaceful atmosphere for visitors to relax and enjoy nature by the riverside. The park is a popular spot for picnics, cycling, and taking in the scenic views.",,,$,,,,,
Bojonegoro,1089,Wisata Migas Wonocolo,Wisata Alam,4.5,"Wisata Migas Wonocolo is located in Bojonegoro, offering visitors a chance to learn about the oil and gas industry through various interactive exhibits and activities. It provides a fun and educational experience for all ages.",085731688400,,$,,,,,
Bojonegoro,1090,Masyarakat Samin,Budaya,4.1,Masyarakat Samin: A unique community in Bojonegoro known for their simple way of life and strong adherence to their ancestral beliefs.,08563547896,http://www.saminbojonegoro.com/,$,,,,,
Bojonegoro,1091,Petilasan Angling Dharma,Budaya,4.7,Petilasan Angling Dharma is a historical site in Bojonegoro that is believed to be the meditation place of an ancient Javanese kingdom's prime minister. The site offers a tranquil atmosphere and beautiful Javanese architecture for visitors to explore.,,,$,,,,,
Bojonegoro,1092,Wali Kidangan,Wisata Alam,4.3,"Wali Kidangan, located in Bojonegoro, is a beautiful natural tourist destination with a unique limestone hill and stunning views of the surrounding area. Adventurers can enjoy activities such as hiking, camping, and bird watching in this peaceful and serene setting.",,,$,,,,,
Bojonegoro,1093,Kampung Samin Margomulyo,Budaya,4.2,Kampung Samin Margomulyo is a traditional village in Bojonegoro known for its unique culture and philosophy of self-sufficiency. Visitors can experience the simplicity of rural life and learn about the Samin community's beliefs.,08563547896,http://www.saminbojonegoro.com/,$,,,,,
Bojonegoro,1094,Desa Wisata Jono,Budaya,4.8,Jono Tourism Village in Bojonegoro is a rural tourism destination where visitors can experience the authentic Javanese village atmosphere and participate in various traditional activities. The village also offers stunning natural landscapes and a peaceful environment for relaxation.,,,$,,,,,
Bojonegoro,1095,Agrowisata Belimbing Ngringinrejo,Wisata Alam,4.2,"Bojonegoro Agro Tourism Belimbing Ngringinrejo is a beautiful agricultural tourism destination in Bojonegoro, offering stunning views of starfruit plantations and various agro-based activities for visitors to enjoy. It is a perfect place to relax and learn about farming practices while surrounded by natural beauty.",082139023555,,$,,,,,
Bondowoso,1096,Kebun Kopi Kalisat Jampit,Wisata Alam,4.2,"Kebun Kopi Kalisat Jampit located in Bondowoso, East Java. It is a coffee plantation with beautiful scenery and offers a chance to learn about coffee production processes.",,,$,,,,,
Bondowoso,1097,Air Terjun Blawan,Wisata Alam,4.0,"Bondowoso is a regency located in East Java, Indonesia known for its natural beauty and cultural heritage. Blawan Waterfall is one of the most famous tourist attractions in the area, offering breathtaking views and a refreshing swimming experience.",,,$,,,,,
Bondowoso,1098,Air terjun Gentongan,Wisata Alam,4.3,"Bondowoso is a regency located in East Java, known for its stunning natural attractions. Gentongan Waterfall is one of the must-visit spots, offering a beautiful cascade of water surrounded by lush greenery.",,,$,,,,,
Bondowoso,1099,Air Terjun Goa Tunggal,Wisata Alam,4.4,"Bondowoso is a regency in East Java, Indonesia known for its natural beauty, including the stunning waterfall of Goa Tunggal, surrounded by lush greenery and offering a refreshing retreat for visitors.",,,$,,,,,
Bondowoso,1100,Air Terjun Tancak Kembar,Wisata Alam,4.9,"Air Terjun Tancak Kembar is a beautiful twin waterfall located in Bondowoso, East Java. The waterfall is surrounded by lush greenery, offering a refreshing and tranquil atmosphere for visitors to enjoy.",,,$,,,,,
Bondowoso,1101,Arung Jeram Bosamba,Wisata Alam,4.4,"Arung Jeram Bosamba is a popular rafting spot located in Bondowoso, offering thrilling rapids and beautiful natural scenery. It is a perfect destination for adventure seekers and nature lovers.",085895166733,,$$$,,,,,
Bondowoso,1102,Batu So'on Solor,Wisata Alam,4.6,"Batu So'on Solor is a unique rock formation located in Bondowoso, East Java, offering stunning natural scenery and a peaceful atmosphere. Visitors can enjoy hiking and photography opportunities while exploring the surrounding beauty of the area.",,,$,,,,,
Bondowoso,1103,Bosamba Rafting,Wisata Alam,4.1,"Bosamba Rafting is located in Bondowoso, offering thrilling rafting experiences on the Pekalen River with beautiful natural scenery. Feel the adrenaline rush as you navigate the rapids and enjoy the lush surroundings.",085895166733,,$$$,,,,,
Bondowoso,1104,Bukit Mahadewa,Wisata Alam,4.0,"Bondowoso is a regency in East Java with Bukit Mahadewa as one of its tourist attractions, offering a stunning panoramic view of the surrounding mountains and rice fields. It is a perfect spot for visitors seeking tranquility and natural beauty.",085237343219,,$,,,,,
Bondowoso,1105,Hutan Pelangi Sumberwringin,Wisata Alam,4.3,"The Rainbow Forest of Sumberwringin in Bondowoso is a natural wonder with colorful trees creating a mesmerizing sight, perfect for nature lovers and photographers. It is a popular destination for those seeking to escape the hustle and bustle of city life and immerse themselves in the tranquil beauty of the forest.",,,$,,,,,
Bondowoso,1106,Kalipait,Wisata Alam,4.2,"Kalipait is a unique natural hot spring located in Bondowoso, East Java, known for its high sulfur content and therapeutic properties. Visitors can enjoy a relaxing soak in the hot mineral waters while surrounded by stunning natural scenery. BondowosoKalipait is a place that has a natural hot water tourist spot, which is known for its high sulfur content and has therapeutic properties. Tourists can enjoy a relaxing soak in the hot mineral water surrounded by beautiful natural scenery.",,http://bbksdajatim.org/,$$,,,,,
Bondowoso,1107,Kawah Ijen,Wisata Alam,4.8,"Bondowoso Regency is home to the majestic Kawah Ijen, a large crater lake known for its blue fire phenomenon and stunning sunrise views. Visitors can also hike to the top of Mount Ijen to witness the breathtaking scenery of East Java.",,https://tiket.bbksdajatim.org/,$$,https://open-trip.id/paket-wisata/open-trip/ijen-baluran-menjangan-2/,https://open-trip.id/paket-wisata/open-trip/wisata-tur-kawah-ijen-baluran-2-hari-1-malam/,https://open-trip.id/paket-wisata/open-trip/explore-gunung-ijen-sunrise/,,
Bondowoso,1108,Kawah Wurung,Wisata Alam,4.3,"Kawah Wurung is a volcanic crater located in Bondowoso, East Java, known for its beautiful turquoise-colored acidic lake surrounded by lush green hills. Visitors can enjoy hiking and camping while taking in the breathtaking scenery.",,,$,,,,,
